#Datum;Uhrzeit;WR;Pac;DaySum;Status;Error;Pdc1;Pdc2;Pdc3;Udc1;Udc2;Udc3;Temp;Uac
22.02.14;17:40:00;1;0;9133;3;0;0;2;0;251;250;250;26;233
22.02.14;17:35:00;1;4;9133;3;0;0;4;0;251;250;250;26;233
22.02.14;17:30:00;1;20;9133;3;0;1;8;4;251;250;251;27;232
22.02.14;17:25:00;1;36;9131;3;0;8;12;8;265;264;264;28;233
22.02.14;17:20:00;1;54;9128;3;0;14;17;14;297;296;297;28;233
22.02.14;17:15:00;1;98;9123;3;0;30;30;27;347;347;347;29;231
22.02.14;17:10:00;1;129;9114;3;0;35;42;38;363;363;363;29;233
22.02.14;17:05:00;1;198;9104;3;0;55;65;62;388;388;389;29;234
22.02.14;17:00:00;1;147;9087;3;0;37;52;44;372;371;371;29;234
22.02.14;16:55:00;1;137;9074;3;0;35;50;39;367;366;366;30;235
22.02.14;16:50:00;1;210;9063;3;0;60;70;66;389;388;389;30;234
22.02.14;16:45:00;1;418;9045;3;0;135;133;134;416;415;416;31;234
22.02.14;16:40:00;1;412;9010;3;0;132;136;130;417;416;416;31;234
22.02.14;16:35:00;1;469;8975;3;0;152;153;151;419;418;419;32;235
22.02.14;16:30:00;1;771;8935;3;0;257;244;262;431;430;431;32;235
22.02.14;16:25:00;1;843;8871;3;0;272;282;281;432;431;432;32;235
22.02.14;16:20:00;1;927;8800;3;0;310;307;303;433;432;433;32;235
22.02.14;16:15:00;1;1232;8723;3;0;406;413;410;437;436;436;32;235
22.02.14;16:10:00;1;2463;8619;3;0;829;826;828;455;454;454;32;235
22.02.14;16:05:00;1;1635;8414;3;0;559;537;548;450;450;450;31;235
22.02.14;16:00:00;1;935;8279;3;0;315;307;311;437;437;437;31;235
22.02.14;15:55:00;1;630;8202;3;0;200;216;204;428;428;428;31;234
22.02.14;15:50:00;1;600;8149;3;0;197;198;197;427;426;427;31;235
22.02.14;15:45:00;1;547;8099;3;0;176;173;185;424;424;424;31;235
22.02.14;15:40:00;1;714;8053;3;0;243;226;234;430;430;430;31;235
22.02.14;15:35:00;1;649;7994;3;0;213;221;207;429;428;429;31;236
22.02.14;15:30:00;1;480;7940;3;0;160;148;159;421;420;420;31;235
22.02.14;15:25:00;1;634;7900;3;0;206;204;216;427;426;426;32;234
22.02.14;15:20:00;1;877;7846;3;0;294;291;289;434;433;434;32;235
22.02.14;15:15:00;1;947;7773;3;0;313;315;314;434;434;434;32;235
22.02.14;15:10:00;1;1412;7693;3;0;482;456;475;442;442;443;33;235
22.02.14;15:05:00;1;1351;7575;3;0;460;439;459;442;442;442;32;235
22.02.14;15:00:00;1;1017;7462;3;0;341;333;341;437;437;437;32;235
22.02.14;14:55:00;1;912;7378;3;0;303;309;297;435;434;435;32;235
22.02.14;14:50:00;1;876;7302;3;0;279;301;291;434;434;434;32;235
22.02.14;14:45:00;1;1008;7229;3;0;334;334;337;436;435;436;32;235
22.02.14;14:40:00;1;1158;7144;3;0;392;377;391;440;439;440;32;235
22.02.14;14:35:00;1;955;7048;3;0;327;319;306;437;436;437;32;236
22.02.14;14:30:00;1;862;6968;3;0;281;287;289;436;435;436;32;235
22.02.14;14:25:00;1;1008;6896;3;0;345;324;337;438;438;439;32;235
22.02.14;14:20:00;1;905;6812;3;0;296;310;295;437;436;437;31;235
22.02.14;14:15:00;1;852;6737;3;0;283;276;286;435;435;435;31;235
22.02.14;14:10:00;1;907;6666;3;0;301;307;295;437;437;437;31;235
22.02.14;14:05:00;1;859;6590;3;0;281;286;288;436;436;436;31;234
22.02.14;14:00:00;1;671;6518;3;0;231;218;217;431;430;431;30;235
22.02.14;13:55:00;1;612;6462;3;0;192;208;197;428;427;428;30;235
22.02.14;13:50:00;1;565;6411;3;0;177;185;190;425;424;425;31;235
22.02.14;13:45:00;1;623;6364;3;0;198;214;203;427;426;427;32;235
22.02.14;13:40:00;1;797;6312;3;0;266;250;274;432;431;432;32;235
22.02.14;13:35:00;1;1101;6245;3;0;362;374;363;438;437;438;32;234
22.02.14;13:30:00;1;1069;6152;3;0;355;361;353;438;437;437;32;235
22.02.14;13:25:00;1;1262;6064;3;0;427;417;416;442;441;442;32;235
22.02.14;13:20:00;1;1213;5958;3;0;401;415;399;442;441;442;32;235
22.02.14;13:15:00;1;928;5857;3;0;306;314;304;437;437;437;32;235
22.02.14;13:10:00;1;795;5780;3;0;266;250;273;434;433;434;32;235
22.02.14;13:05:00;1;895;5714;3;0;300;294;298;435;435;435;32;235
22.02.14;13:00:00;1;921;5639;3;0;305;300;312;435;434;435;32;234
22.02.14;12:55:00;1;1230;5561;3;0;398;434;401;440;439;440;32;235
22.02.14;12:50:00;1;1527;5459;3;0;509;505;513;444;443;444;32;235
22.02.14;12:45:00;1;1534;5330;3;0;521;503;514;446;445;446;31;233
22.02.14;12:40:00;1;1382;5203;3;0;466;448;469;445;444;445;32;234
22.02.14;12:35:00;1;1331;5087;3;0;445;446;442;444;444;444;31;234
22.02.14;12:30:00;1;1283;4977;3;0;419;443;424;442;442;442;31;234
22.02.14;12:25:00;1;1527;4869;3;0;512;512;505;445;444;445;31;233
22.02.14;12:20:00;1;1623;4742;3;0;541;552;535;447;446;447;31;234
22.02.14;12:15:00;1;1776;4606;3;0;600;579;604;447;447;447;31;233
22.02.14;12:10:00;1;1571;4458;3;0;527;521;527;447;446;446;31;233
22.02.14;12:05:00;1;1604;4327;3;0;532;546;530;448;447;448;31;233
22.02.14;12:00:00;1;1709;4193;3;0;567;577;571;448;447;448;31;233
22.02.14;11:55:00;1;1794;4051;3;0;602;598;602;449;448;448;31;233
22.02.14;11:50:00;1;1820;3900;3;0;621;590;619;450;449;450;31;233
22.02.14;11:45:00;1;1432;3749;3;0;483;474;476;447;446;446;31;233
22.02.14;11:40:00;1;1398;3630;3;0;467;469;465;447;447;447;31;233
22.02.14;11:35:00;1;1229;3514;3;0;400;421;410;445;444;445;31;233
22.02.14;11:30:00;1;1370;3411;3;0;466;456;451;448;447;448;31;233
22.02.14;11:25:00;1;1239;3296;3;0;416;404;420;446;445;446;31;232
22.02.14;11:20:00;1;995;3194;3;0;348;326;319;442;442;442;30;231
22.02.14;11:15:00;1;1116;3111;3;0;378;358;379;445;444;445;30;232
22.02.14;11:10:00;1;1076;3017;3;0;370;346;359;445;444;445;30;231
22.02.14;11:05:00;1;896;2928;3;0;295;308;288;441;441;441;30;232
22.02.14;11:00:00;1;868;2853;3;0;274;305;283;441;441;441;30;231
22.02.14;10:55:00;1;837;2781;3;0;267;285;279;439;439;439;30;232
22.02.14;10:50:00;1;902;2711;3;0;295;310;292;440;440;440;30;233
22.02.14;10:45:00;1;1102;2635;3;0;374;352;374;445;444;444;30;233
22.02.14;10:40:00;1;1111;2543;3;0;371;359;379;445;444;445;30;233
22.02.14;10:35:00;1;1117;2450;3;0;355;394;364;446;445;445;30;232
22.02.14;10:30:00;1;1098;2357;3;0;360;365;370;445;445;445;30;232
22.02.14;10:25:00;1;932;2266;3;0;314;302;309;441;441;441;30;233
22.02.14;10:20:00;1;1037;2188;3;0;344;344;344;443;442;443;30;234
22.02.14;10:15:00;1;1493;2101;3;0;495;505;494;448;447;448;30;233
22.02.14;10:10:00;1;1819;1975;3;0;615;593;620;452;451;452;30;232
22.02.14;10:05:00;1;1673;1823;3;0;575;532;573;454;453;453;30;233
22.02.14;10:00:00;1;1278;1685;3;0;423;432;425;450;450;450;30;232
22.02.14;09:55:00;1;1244;1578;3;0;409;430;406;450;450;450;29;232
22.02.14;09:50:00;1;1013;1475;3;0;340;331;340;447;446;447;29;232
22.02.14;09:45:00;1;1035;1392;3;0;352;337;342;446;445;446;29;232
22.02.14;09:40:00;1;1214;1304;3;0;389;428;398;449;448;449;29;232
22.02.14;09:35:00;1;996;1203;3;0;342;328;324;447;446;447;29;231
22.02.14;09:30:00;1;1026;1120;3;0;346;335;341;447;447;447;28;230
22.02.14;09:25:00;1;927;1034;3;0;312;308;304;446;445;445;28;229
22.02.14;09:20:00;1;751;957;3;0;252;236;254;441;441;442;28;230
22.02.14;09:15:00;1;877;894;3;0;284;301;286;445;444;445;28;232
22.02.14;09:10:00;1;833;821;3;0;272;275;280;445;444;445;28;231
22.02.14;09:05:00;1;1153;751;3;0;382;381;386;451;451;451;27;232
22.02.14;09:00:00;1;1417;654;3;0;482;469;469;458;457;458;26;232
22.02.14;08:55:00;1;1064;536;3;0;364;348;350;456;456;456;26;232
22.02.14;08:50:00;1;799;448;3;0;270;255;268;451;450;450;25;232
22.02.14;08:45:00;1;911;381;3;0;306;295;304;454;453;454;24;233
22.02.14;08:40:00;1;886;305;3;0;295;294;292;453;453;453;24;233
22.02.14;08:35:00;1;737;231;3;0;247;233;241;449;448;449;23;233
22.02.14;08:30:00;1;550;171;3;0;181;174;183;444;443;444;22;233
22.02.14;08:25:00;1;349;125;3;0;105;112;117;430;429;430;21;233
22.02.14;08:20:00;1;255;96;3;0;86;73;81;417;416;417;21;232
22.02.14;08:15:00;1;196;75;3;0;53;65;62;404;404;404;20;232
22.02.14;08:10:00;1;170;58;3;0;44;58;55;395;395;395;20;233
22.02.14;08:05:00;1;211;44;3;0;61;69;67;407;406;407;19;233
22.02.14;08:00:00;1;163;26;3;0;45;55;50;391;391;392;18;234
22.02.14;07:55:00;1;74;13;3;0;19;25;21;334;334;334;18;234
22.02.14;07:50:00;1;43;6;3;0;7;17;12;288;287;288;17;234
22.02.14;07:45:00;1;23;3;3;0;1;11;6;252;252;252;17;234
22.02.14;07:40:00;1;12;1;3;0;0;8;3;251;251;251;17;234
22.02.14;07:35:00;1;2;0;3;0;0;6;0;245;245;245;17;235
